,id,title,release_date,vote_average,vote_count
180,879857,A US-China Tech War: The True Costs,2021-01-29,0.0,0
181,880609,US Or China: Will Southeast Asia Have To Pick A Side?,2021-01-29,0.0,0
182,895090,Dance,2021-01-29,0.0,0
183,742843,Affairs of the Art,2021-01-29,9.5,2
184,868563,Photograph of Memories,2021-01-29,0.0,0
185,722805,The Master Plan,2021-01-29,8.0,1
186,879501,The Real Losers Of The US-China Trade War,2021-01-29,0.0,0
187,850201,Angh,2021-01-29,0.0,0
188,843912,Maassab,2021-01-29,0.0,0
189,911168,Lewberger: Live At Lincoln Hall In Chicago,2021-01-29,0.0,0
190,923340,花束みたいな恋をした,2021-01-29,9.0,1
191,807602,Extra Flavour,2021-01-29,5.0,1
192,808429,The Spoiled,2021-01-29,0.0,0
193,855652,Sphinx,2021-01-29,0.0,0
194,847212,Twenty Skies,2021-01-29,0.0,0
195,805632,Self Scratch,2021-01-29,7.0,2
196,811222,Princesses,2021-01-29,5.0,1
197,865688,Lumee's Dream,2021-01-29,0.0,0
198,864003,The Story of Coronavirus,2021-01-29,0.0,0
199,793201,Orbit,2021-01-29,0.0,0
200,805632,Self Scratch,2021-01-29,7.0,2
201,855652,Sphinx,2021-01-29,0.0,0
202,792844,Thank You for Your Patience,2021-01-29,8.0,1
203,792879,A Romantic Take - Live from the Pierre Boulez Saal Berlin,2021-01-29,10.0,1
204,795242,The Trees,2021-01-29,0.0,0
205,811222,Princesses,2021-01-29,5.0,1
206,847212,Twenty Skies,2021-01-29,0.0,0
207,793201,Orbit,2021-01-29,0.0,0
208,793256,Five Nights at Freddy's: Home Breach,2021-01-29,2.0,1
209,862069,Stab Ya In The Face,2021-01-29,0.0,0
210,865688,Lumee's Dream,2021-01-29,0.0,0
211,864003,The Story of Coronavirus,2021-01-29,0.0,0
212,878852,Pride & Shame: The Roots Of US-China Tensions,2021-01-29,0.0,0
213,799185,Malabar,2021-01-29,6.0,1
214,602269,The Little Things,2021-01-28,6.4,1409
215,504148,The Serpent,2021-01-28,3.7,7
216,787726,The Tambour of Retribution,2021-01-28,8.0,1
217,853379,Tuk-tuk,2021-01-28,0.0,0
218,789890,"Buitres, la cara salvaje del capitalismo",2021-01-28,10.0,2
219,791430,Seven Days In Jamaica,2021-01-28,0.0,0
220,791432,watching the sun rise,2021-01-28,0.0,0
221,790661,Scissors,2021-01-28,0.0,0
222,790663,Lil Estonia,2021-01-28,0.0,0
223,790668,Paradise,2021-01-28,0.0,0
224,790669,Matz,2021-01-28,0.0,0
225,789068,Ruhe! Hier stirbt Lothar,2021-01-28,5.3,3
226,786373,Come Here,2021-01-28,0.0,0
227,791021,Die Bestatterin - Die unbekannte Tote,2021-01-28,5.0,2
228,791044,La santé mentale : Une note à la fois,2021-01-28,0.0,0
229,799429,Shao Lin Shi Zhi De Bao Chuan Qi,2021-01-28,0.0,0
230,838791,"I Love You, You’re Perfect, Now Change",2021-01-28,0.0,0
231,723333,Cinta Tanpa Tapi,2021-01-28,0.0,0
232,556867,Breaking News in Yuba County,2021-01-28,6.0,91
233,776518,In the Same Breath,2021-01-28,6.6,14
234,776545,One for the Road,2021-01-28,6.0,1
235,791336,Everything Will Be OK!,2021-01-28,0.0,0
236,791306,When the World is Shaken,2021-01-28,0.0,0
237,794105,Hackers : les nouveaux braqueurs,2021-01-28,0.0,0
238,776700,Don't Go Tellin' Your Momma,2021-01-28,6.0,1
239,796277,Enough,2021-01-28,0.0,0
240,791151,Bad Jews,2021-01-28,0.0,0
241,791563,Closing Doors,2021-01-28,0.0,0
242,792318,Little Ones,2021-01-28,0.0,0
243,776706,Raspberry,2021-01-28,0.0,0
244,776723,The Touch of the Master's Hand,2021-01-28,0.0,0
245,776725,White Wedding,2021-01-28,0.0,0
246,776726,Wiggle Room,2021-01-28,0.0,0
247,776727,Yoruga,2021-01-28,0.0,0
248,776730,Five Tiger,2021-01-28,0.0,0
249,776732,Like the Ones I Used to Know,2021-01-28,5.7,3
250,776737,The Longest Dream I Remember,2021-01-28,0.0,0
251,776740,We're Not Animals,2021-01-28,0.0,0
252,776745,Trepanation,2021-01-28,0.0,0
253,776753,The Field Trip,2021-01-28,0.0,0
254,776756,Snowy,2021-01-28,0.0,0
255,776761,This Is the Way We Rise,2021-01-28,0.0,0
256,776766,To Know Her,2021-01-28,0.0,0
257,776769,When We Were Bullies,2021-01-28,0.0,0
258,780632,June & Kopi,2021-01-28,7.2,6
259,793523,Mysteriet vid Djatlovpasset,2021-01-28,0.0,0
260,801729,Iedereen is dood behalve wij,2021-01-28,0.0,0
261,792677,Crazy Spider,2021-01-28,0.0,0
262,788328,Chacrinha: Eu Vim para Confundir e Não para Explicar,2021-01-28,0.0,0
263,820139,Thailand's Youth Rebellion,2021-01-28,0.0,0
264,797196,Betti Alver,2021-01-28,0.0,0
265,897820,We Won't Do Anything Crazy,2021-01-28,0.0,0
266,899720,Maz Jobrani: Pandemic Warrior,2021-01-28,0.0,0
267,881169,Thiaguinho - Tardezinha No Maracanã,2021-01-28,0.0,0
268,853055,Un País Llamado El Pez que Fuma,2021-01-28,0.0,0
269,855121,Untitled: The Cure Documentary,2021-01-28,0.0,0
270,875441,Selling Out,2021-01-28,0.0,0
271,849134,Then There Was One,2021-01-28,0.0,0
272,775265,Virus Shark,2021-01-28,4.7,18
273,908266,Kolobok,2021-01-28,0.0,0
274,922621,In This Together: A Bell Let's Talk Day Special,2021-01-28,0.0,0
275,784093,Imperial,2021-01-28,0.0,0
276,788462,Una tumba para tres,2021-01-28,0.0,0
277,750087,The Rifleman,2021-01-28,0.0,0
278,761645,Dear Philadelphia,2021-01-28,0.0,0
279,791223,All Riders,2021-01-28,0.0,0
280,791267,Beirut,2021-01-28,7.0,1
281,791272,Kabadadaari,2021-01-28,6.7,3
282,788462,Una tumba para tres,2021-01-28,0.0,0
283,798063,Happy's,2021-01-28,5.0,1
284,922621,In This Together: A Bell Let's Talk Day Special,2021-01-28,0.0,0
285,897820,We Won't Do Anything Crazy,2021-01-28,0.0,0
286,761645,Dear Philadelphia,2021-01-28,0.0,0
287,812010,Evening Plans,2021-01-28,10.0,1
288,852481,Collaborations… with Stephen McCauley,2021-01-28,0.0,0
289,833276,Avant Card,2021-01-28,0.0,0
290,897645,Altaï,2021-01-28,0.0,0
